Operacia;Cas;;Pocet prvkov
Odstran na zaklade kluca;700;ns;21
Odstran na zaklade kluca;1000;ns;20
Odstran na zaklade kluca;1000;ns;19
Odstran na zaklade kluca;1000;ns;18
Vloz na zaklade kluca;600;ns;17
Vloz na zaklade kluca;800;ns;18
Odstran na zaklade kluca;1000;ns;19
Vloz na zaklade kluca;800;ns;18
Odstran na zaklade kluca;800;ns;19
Odstran na zaklade kluca;600;ns;18
Vloz na zaklade kluca;700;ns;17
Odstran na zaklade kluca;1000;ns;18
Odstran na zaklade kluca;1000;ns;17
Odstran na zaklade kluca;1000;ns;16
Spristupni na zaklade kluca;400;ns;15
Odstran na zaklade kluca;700;ns;15
Vloz na zaklade kluca;600;ns;14
Odstran na zaklade kluca;600;ns;15
Odstran na zaklade kluca;1000;ns;14
Vloz na zaklade kluca;800;ns;13
Vloz na zaklade kluca;700;ns;14
Vloz na zaklade kluca;700;ns;15
Vloz na zaklade kluca;600;ns;16
Odstran na zaklade kluca;700;ns;17
Vloz na zaklade kluca;600;ns;16
Vloz na zaklade kluca;800;ns;17
Odstran na zaklade kluca;1000;ns;18
Odstran na zaklade kluca;700;ns;17
Vloz na zaklade kluca;700;ns;16
Vloz na zaklade kluca;600;ns;17
Vloz na zaklade kluca;600;ns;18
Vloz na zaklade kluca;600;ns;19
Vloz na zaklade kluca;800;ns;20
Odstran na zaklade kluca;1000;ns;21
Vloz na zaklade kluca;600;ns;20
Odstran na zaklade kluca;700;ns;21
Spristupni na zaklade kluca;500;ns;20
Odstran na zaklade kluca;600;ns;20
Odstran na zaklade kluca;600;ns;19
Odstran na zaklade kluca;600;ns;18
Odstran na zaklade kluca;500;ns;17
Odstran na zaklade kluca;500;ns;16
Odstran na zaklade kluca;600;ns;15
Vloz na zaklade kluca;600;ns;14
Odstran na zaklade kluca;500;ns;15
Vloz na zaklade kluca;600;ns;14
Spristupni na zaklade kluca;500;ns;15
Odstran na zaklade kluca;600;ns;15
Spristupni na zaklade kluca;400;ns;14
Spristupni na zaklade kluca;400;ns;14
Vloz na zaklade kluca;700;ns;14
Odstran na zaklade kluca;1000;ns;15
Vloz na zaklade kluca;800;ns;14
Odstran na zaklade kluca;1000;ns;15
Odstran na zaklade kluca;1100;ns;14
Vloz na zaklade kluca;800;ns;13
Vloz na zaklade kluca;700;ns;14
Odstran na zaklade kluca;700;ns;15
Odstran na zaklade kluca;1000;ns;14
Vloz na zaklade kluca;700;ns;13
Spristupni na zaklade kluca;400;ns;14
Vloz na zaklade kluca;700;ns;14
Vloz na zaklade kluca;600;ns;15
