Operacia;Cas;;Pocet prvkov
Odstran na zaklade kluca;2994000;ns;154
Spristupni na zaklade kluca;1167000;ns;153
Spristupni na zaklade kluca;1195400;ns;153
Spristupni na zaklade kluca;1210500;ns;153
Vloz na zaklade kluca;2366700;ns;153
Spristupni na zaklade kluca;2290800;ns;154
Odstran na zaklade kluca;2310100;ns;154
Odstran na zaklade kluca;1181900;ns;153
Vloz na zaklade kluca;1163900;ns;152
Spristupni na zaklade kluca;1355000;ns;153
Vloz na zaklade kluca;2271200;ns;153
Spristupni na zaklade kluca;2433400;ns;154
Vloz na zaklade kluca;1291100;ns;154
Spristupni na zaklade kluca;1202100;ns;155
Spristupni na zaklade kluca;1174500;ns;155
Vloz na zaklade kluca;1184000;ns;155
Spristupni na zaklade kluca;1186300;ns;156
Spristupni na zaklade kluca;1185600;ns;156
Spristupni na zaklade kluca;1229400;ns;156
Vloz na zaklade kluca;2302600;ns;156
Odstran na zaklade kluca;2279800;ns;157
Vloz na zaklade kluca;2772600;ns;156
Spristupni na zaklade kluca;2210900;ns;157
Spristupni na zaklade kluca;2645000;ns;157
Spristupni na zaklade kluca;2459300;ns;157
Spristupni na zaklade kluca;2196100;ns;157
Spristupni na zaklade kluca;2329800;ns;157
Spristupni na zaklade kluca;2469200;ns;157
Spristupni na zaklade kluca;2281800;ns;157
Vloz na zaklade kluca;2542500;ns;157
Spristupni na zaklade kluca;2296100;ns;158
Spristupni na zaklade kluca;2375300;ns;158
Spristupni na zaklade kluca;2237900;ns;158
Spristupni na zaklade kluca;2567900;ns;158
