Operacia;Cas;;Pocet prvkov
Vloz na zaklade kluca;2100;ns;96
Odstran na zaklade kluca;9800;ns;97
Vloz na zaklade kluca;2000;ns;96
Vloz na zaklade kluca;2000;ns;97
Vloz na zaklade kluca;2000;ns;98
Spristupni na zaklade kluca;1600;ns;99
Spristupni na zaklade kluca;1600;ns;99
Odstran na zaklade kluca;9600;ns;99
Odstran na zaklade kluca;9600;ns;98
Vloz na zaklade kluca;2000;ns;97
Odstran na zaklade kluca;9800;ns;98
Odstran na zaklade kluca;9800;ns;97
Vloz na zaklade kluca;2000;ns;96
Vloz na zaklade kluca;2000;ns;97
Odstran na zaklade kluca;9800;ns;98
Vloz na zaklade kluca;2000;ns;97
Spristupni na zaklade kluca;1600;ns;98
Vloz na zaklade kluca;2300;ns;98
Odstran na zaklade kluca;10300;ns;99
Odstran na zaklade kluca;9600;ns;98
Odstran na zaklade kluca;9800;ns;97
Vloz na zaklade kluca;2100;ns;96
Vloz na zaklade kluca;2000;ns;97
Vloz na zaklade kluca;2000;ns;98
Vloz na zaklade kluca;2100;ns;99
Vloz na zaklade kluca;2000;ns;100
Vloz na zaklade kluca;2200;ns;101
Vloz na zaklade kluca;2100;ns;102
Vloz na zaklade kluca;2100;ns;103
Vloz na zaklade kluca;2100;ns;104
Odstran na zaklade kluca;10200;ns;105
Vloz na zaklade kluca;2100;ns;104
Odstran na zaklade kluca;10500;ns;105
Vloz na zaklade kluca;2100;ns;104
Odstran na zaklade kluca;10400;ns;105
Odstran na zaklade kluca;10200;ns;104
Odstran na zaklade kluca;10100;ns;103
Vloz na zaklade kluca;2000;ns;102
Vloz na zaklade kluca;2000;ns;103
Spristupni na zaklade kluca;1600;ns;104
Odstran na zaklade kluca;10200;ns;104
